CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment_Label
1,Male,49,108,94,3,High-value loyal customers
2,Female,56,62,72,3,High-value loyal customers
3,Male,66,81,100,3,High-value loyal customers
4,Male,69,81,87,3,High-value loyal customers
5,Male,49,152,94,3,High-value loyal customers
6,Female,21,75,100,1,Moderate value customers
7,Male,47,84,41,2,Potential churn risk
8,Male,54,151,100,3,High-value loyal customers
9,Male,40,82,100,3,High-value loyal customers
10,Female,56,165,73,2,Potential churn risk
11,Male,62,118,100,3,High-value loyal customers
12,Male,32,151,64,1,Moderate value customers
13,Male,60,123,100,3,High-value loyal customers
14,Male,46,115,58,2,Potential churn risk
15,Female,53,102,100,3,High-value loyal customers
16,Male,30,73,48,1,Moderate value customers
17,Female,49,58,35,0,Moderate value customers
18,Female,24,89,94,1,Moderate value customers
19,Female,68,118,100,3,High-value loyal customers
20,Male,39,103,59,1,Moderate value customers
21,Female,45,71,77,3,High-value loyal customers
22,Male,19,98,100,1,Moderate value customers
23,Female,59,146,35,2,Potential churn risk
24,Female,62,84,44,2,Potential churn risk
25,Female,23,147,83,1,Moderate value customers
26,Female,45,100,100,3,High-value loyal customers
27,Female,45,171,26,2,Potential churn risk
28,Female,61,60,94,3,High-value loyal customers
29,Female,61,153,29,2,Potential churn risk
30,Female,37,159,41,2,Potential churn risk
31,Male,47,91,49,2,Potential churn risk
32,Male,28,78,100,1,Moderate value customers
33,Female,45,147,27,2,Potential churn risk
34,Female,42,167,100,3,High-value loyal customers
35,Female,56,100,57,2,Potential churn risk
36,Male,50,107,100,3,High-value loyal customers
37,Female,18,149,100,1,Moderate value customers
38,Male,44,153,49,2,Potential churn risk
39,Male,69,114,37,2,Potential churn risk
40,Male,30,151,75,1,Moderate value customers
41,Male,58,170,60,2,Potential churn risk
42,Male,20,117,58,1,Moderate value customers
43,Female,56,139,58,2,Potential churn risk
44,Female,23,86,86,1,Moderate value customers
45,Female,25,141,76,1,Moderate value customers
46,Female,44,87,68,3,High-value loyal customers
47,Female,26,121,37,1,Moderate value customers
48,Male,54,72,92,3,High-value loyal customers
49,Female,50,79,90,3,High-value loyal customers
50,Female,68,160,58,2,Potential churn risk
51,Male,59,149,65,2,Potential churn risk
52,Female,61,108,99,3,High-value loyal customers
53,Male,41,112,68,1,Moderate value customers
